date       | count | men_loc(mention+location)
 2017-12-30 |     1 |             laluprasadrjdPune, Maharashtra
 2017-12-30 |     1 |            laluprasadrjdPithoragarh, India
 2017-12-30 |     1 |                  laluprasadrjdGumia, India
 2017-12-30 |     1 |  laluprasadrjdGHIROR DISTRICT MAINPURI UP 
 2017-12-30 |     1 |                      laluprasadrjdBanda,up
 2017-12-30 |     1 |                 kpmaurya1vidisha mp India 
 2017-12-30 |     1 |         kpmaurya1Basti uttar pradesh india
 2017-12-30 |     1 |              kpmaurya1Barabanki u.p. India
 2017-12-30 |     1 |                     jayantsinha  Bengaluru
 2017-12-30 |     1 |                jairamthakurbjpRatia, India
 2017-12-30 |     1 |            jairamthakurbjpNew Delhi, India
 2017-12-30 |     1 |                          jafarhaandGermany
 2017-12-30 |     1 |   iqrarulhassanDubai, United Arab Emirates
 2017-12-30 |     1 |                           imVkohliPortugal
 2017-12-30 |     1 |                     iRahulSahuदेहरादून, भारत
 2017-12-30 |     1 |          husainhaqqaniLucerne, Switzerland
 2017-12-30 |     1 |                       husainhaqqaniGermany

---MORE---
 date       | count | men_loc
------------+-------+------------------------------------------
 2017-12-30 |     1 |                              htTweetsUSA
 2017-12-30 |     1 |                 firstpostCalifornia, USA
 2017-12-30 |     1 |            faizanlakhaniTry and find it 
 2017-12-30 |     1 |                     eMitraRajasthanIndia
 2017-12-30 |     1 |          drramansinghChattisgarh , India
 2017-12-30 |     1 |           dpradhanbjpChattisgarh , India
 2017-12-30 |     1 |                   dasraghubarझारखंड, भारत
 2017-12-30 |     1 |                     cmohryUdaipur, India
 2017-12-30 |     1 |                     capt_amarinderdausa 
 2017-12-30 |     1 |           bainjalNew Delhi, jamia millia
 2017-12-30 |     1 |                   ashraf_waniफ़तेहपुर, भारत
 2017-12-30 |     1 |  asadmunir38Bandipore, Jammu And Kashmir
 2017-12-30 |     1 |                arvind_nowBerlin, Germany
 2017-12-30 |     1 |                   arunjaitleyगुजरात, भारत
 2017-12-30 |     1 | arunjaitleyWHERE KNOWLEDGE IS UNBOUNDED 
 2017-12-30 |     1 |                         arunjaitleyTheni
 2017-12-30 |     1 |     arunjaitleyBasti uttar pradesh india
 2017-12-30 |     1 |                   anjujunejaRatia, India
 2017-12-30 |     1 |   anjanaomkashyapNew Delhi, jamia millia
 2017-12-30 |     1 |                 anaulhaqLahore, Pakistan
 2017-12-30 |     1 |           alenushkaukhinaहोशियारपुर, भारत
 2017-12-30 |     1 |              alenushkaukhinaHansi, India
 2017-12-30 |     1 |         ajmaljamiSomewhere in this world
 2017-12-30 |     1 |                adeelsherLahore, Pakistan
 2017-12-30 |     1 |                    abpnewstvSavar Kundla
 2017-12-30 |     1 |         abpnewstvNew Delhi, jamia millia
 2017-12-30 |     1 |      abpnewshindiNew Delhi, jamia millia
 2017-12-30 |     1 |          abpnewshindiChattisgarh , India
 2017-12-30 |     1 |                       aajtakગુજરાત, ભારત 
 2017-12-30 |     1 |                        aajtakफ़तेहपुर, भारत
 2017-12-30 |     1 |            aajtakNew Delhi, jamia millia
 2017-12-30 |     1 |                   aajtakNew Delhi, India
 2017-12-30 |     1 |                    aajtakLudhiana, India
 2017-12-30 |     1 |                   aajtakHazaribag, India
 2017-12-30 |     1 |                     aajtakGujarat, India
 2017-12-30 |     1 |                       _DigitalIndiaTheni
 2017-12-30 |     1 |                    _DigitalIndiaChittoor
 2017-12-30 |     1 |            ZeeNewsHindvi Swaraj - 142364
 2017-12-30 |     1 |         ZeeNewsBasti uttar pradesh india
